timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717702281897,3,GetNewProducts,200,OK,Thread Group 100 1-1,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,3,0,0
1717702281906,2,GetNewProducts,200,OK,Thread Group 100 1-2,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281916,2,GetNewProducts,200,OK,Thread Group 100 1-3,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281926,2,GetNewProducts,200,OK,Thread Group 100 1-4,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281936,2,GetNewProducts,200,OK,Thread Group 100 1-5,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281946,2,GetNewProducts,200,OK,Thread Group 100 1-6,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281956,2,GetNewProducts,200,OK,Thread Group 100 1-7,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281966,2,GetNewProducts,200,OK,Thread Group 100 1-8,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281976,2,GetNewProducts,200,OK,Thread Group 100 1-9,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281986,2,GetNewProducts,200,OK,Thread Group 100 1-10,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702281996,2,GetNewProducts,200,OK,Thread Group 100 1-11,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702282006,2,GetNewProducts,200,OK,Thread Group 100 1-12,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,1
1717702282016,2,GetNewProducts,200,OK,Thread Group 100 1-13,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,1
1717702282026,2,GetNewProducts,200,OK,Thread Group 100 1-14,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,1
1717702282036,2,GetNewProducts,200,OK,Thread Group 100 1-15,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,1
1717702282046,2,GetNewProducts,200,OK,Thread Group 100 1-16,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702282056,2,GetNewProducts,200,OK,Thread Group 100 1-17,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702282066,1,GetNewProducts,200,OK,Thread Group 100 1-18,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717702282076,1,GetNewProducts,200,OK,Thread Group 100 1-19,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717702282086,2,GetNewProducts,200,OK,Thread Group 100 1-20,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702282096,2,GetNewProducts,200,OK,Thread Group 100 1-21,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717702282106,1,GetNewProducts,200,OK,Thread Group 100 1-22,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
