timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717705211059,2,GetNewProducts,200,OK,Thread Group 1-811,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211061,1,GetNewProducts,200,OK,Thread Group 1-810,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211061,1,GetNewProducts,200,OK,Thread Group 1-814,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211063,1,GetNewProducts,200,OK,Thread Group 1-815,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211064,1,GetNewProducts,200,OK,Thread Group 1-816,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211065,1,GetNewProducts,200,OK,Thread Group 1-817,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211066,1,GetNewProducts,200,OK,Thread Group 1-818,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211067,1,GetNewProducts,200,OK,Thread Group 1-820,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211068,1,GetNewProducts,200,OK,Thread Group 1-821,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211069,1,GetNewProducts,200,OK,Thread Group 1-819,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211069,2,GetNewProducts,200,OK,Thread Group 1-822,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211071,1,GetNewProducts,200,OK,Thread Group 1-823,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211072,1,GetNewProducts,200,OK,Thread Group 1-824,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211073,1,GetNewProducts,200,OK,Thread Group 1-825,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211074,1,GetNewProducts,200,OK,Thread Group 1-827,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211074,1,GetNewProducts,200,OK,Thread Group 1-826,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211075,1,GetNewProducts,200,OK,Thread Group 1-828,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
