timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717715070033,100,GetNewProducts,200,OK,Thread Group 1-5,text,true,,1864,150,355,355,http://localhost:5000/api/product/newProducts/?page=1,100,0,1
1717715070033,101,GetNewProducts,200,OK,Thread Group 1-11,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,101,0,1
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-94,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,1
1717715070052,133,GetNewProducts,200,OK,Thread Group 1-97,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,133,0,0
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-93,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,1
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-90,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,1
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-269,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,0
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-89,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,0
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-85,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,0
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-88,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,0
1717715070051,134,GetNewProducts,200,OK,Thread Group 1-86,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,134,0,0
1717715070050,135,GetNewProducts,200,OK,Thread Group 1-82,text,true,,1864,150,354,354,http://localhost:5000/api/product/newProducts/?page=1,135,0,1
